ORDER_ID;CREATED_AT;STATUS;AMOUNT;REFUNDED_AT;MERCHANT_ID;COUNTRY;MERCHANT_ID;NAME;REFUNDS;AMOUNT_REFUNDS
5c3ef8170aee697c1ba8432a;55:20.0;CLOSED;163;;pk_317b4fc6fd80a5f8fb2ff216;Francia;pk_317b4fc6fd80a5f8fb2ff216;Calcedonia ;2;163
5c3ef8170aee697c1ba8432b;25:26.0;CLOSED;773;;pk_317b4fc6fd80a5f8fb2ff216;Portugal;pk_317b4fc6fd80a5f8fb2ff216;Calcedonia ;1;773
5c3ef8170aee697c1ba8432c;52:13.0;CLOSED;191;;pk_317b4fc6fd80a5f8fb2ff216;Alemania;pk_317b4fc6fd80a5f8fb2ff216;Calcedonia ;2;191
5c3ef8170aee697c1ba8432d;30:59.0;CLOSED;236;;pk_317b4fc6fd80a5f8fb2ff216;Alemania;pk_317b4fc6fd80a5f8fb2ff216;Calcedonia ;1;236
5c3ef8170aee697c1ba8432e;07:56.0;CLOSED;302;;pk_317b4fc6fd80a5f8fb2ff216;Alemania;pk_317b4fc6fd80a5f8fb2ff216;Calcedonia ;1;302
5c3ef8170aee697c1ba8432f;46:23.0;CLOSED;283;;pk_317b4fc6fd80a5f8fb2ff216;Marruecos;pk_317b4fc6fd80a5f8fb2ff216;Calcedonia ;2;283
5c3ef8170aee697c1ba84330;22:06.0;CLOSED;441;;pk_317b4fc6fd80a5f8fb2ff216;España;pk_317b4fc6fd80a5f8fb2ff216;Calcedonia ;1;441
5c3ef8170aee697c1ba84333;04:24.0;DELINQUENT;217;;pk_317b4fc6fd80a5f8fb2ff216;España;pk_317b4fc6fd80a5f8fb2ff216;Calcedonia ;2;217
5c3ef8170aee697c1ba84335;41:49.0;CLOSED;266;;pk_317b4fc6fd80a5f8fb2ff216;Italia;pk_317b4fc6fd80a5f8fb2ff216;Calcedonia ;1;266
5c3ef8170aee697c1ba84336;32:34.0;CANCELLED;357;58:14.0;pk_317b4fc6fd80a5f8fb2ff216;España;pk_317b4fc6fd80a5f8fb2ff216;Calcedonia ;1;357
